asset_id,relative_path,subject,license,notes
seal_moonchild,assets/sigils/seal_moonchild.svg,moonchild-seal,original,"fixed-coord id: MC-SEAL-01"
realm_lunar,assets/art/realms/lunar_perimeter.webp,Lunar Perimeter,original,"palette: silver/violet"
